"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"Ascospores narrowly fusiform, cylindrical, usually slightly curved, occasionally becoming 3-septate, (30-)32-43 x 2.5-3 µm.","Lachnum brasiliense_143603_61289","Ascospores","(30-)32-43 x 2.5-3",32,2.75,NA,NA,NA
"Ascospores fusiform, 31-40 x 1.5-2 µm","Lachnum cyphelloides_145629_61290","Ascospores","31-40 x 1.5-2",35.5,1.75,NA,NA,NA
"ascospores ellipsoid-ovoid, 16-26.5 x 10-16 µm.","Microsphaera thermopsidis_127391_29219","ascospores","16-26.5 x 10-16",21.25,13,NA,NA,NA
"Ascospores multiseriate, colorless, straight, fusiform to clavate, with the widest point in the upper half of the apical cell, 1-septate, without a constriction at the median septum, 16-25 x 3-5 µm.","Mycosphaerella delegatensis_127414_9557","Ascospores","16-25 x 3-5",20.5,4,NA,NA,NA
"Ascospores multiseriate, hyaline, straight, fusiform to clavate, with the widest point in the upper half of the apical cell, 1-septate, without a constriction at the median septum, 16-25 x 3-5 µm.","Mycosphaerella delegatensis_127414_18275","Ascospores","16-25 x 3-5",20.5,4,NA,NA,NA
"Ascospores 2-3-seriate, colorless, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above median septum, slightly constricted at septum, 20-27 x 4-6 µm.","Mycosphaerella swartii_127417_9583","Ascospores","20-27 x 4-6",23.5,5,NA,NA,NA
"Ascospores 2-3 seriate, hyaline, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above the median septum, with a slight constriction at the septum, 20-27 x 4-6 µm.","Mycosphaerella swartii_127417_18291","Ascospores","20-27 x 4-6",23.5,5,NA,NA,NA
"Ascospores 2-3-seriate, colorless, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above median septum, slightly constricted at septum, 19-27 x 4-6 µm.","Mycosphaerella walkeri_127418_9585","Ascospores","19-27 x 4-6",23,5,NA,NA,NA
"Ascospores 2-3 seriate, hyaline, guttulate, straight or slightly curved, fusiform, 1-septate, widest just above the median septum, with a slight constriction at the septum, 19-27 x 4-6 µm.","Mycosphaerella walkeri_127418_18296","Ascospores","19-27 x 4-6",23,5,NA,NA,NA
"Ascospores orange-segment shaped, aseptate, hyaline, invested in a sheath, 5.2-7 x 2.2-3.2 µm","Ophiostoma dryocoetidis_18029_12225","Ascospores","5.2-7 x 2.2-3.2",6.1,2.7,NA,NA,NA
"Ascospores hat-shaped, aseptate, hyaline, invested in a sheath, 3-4 x 1.5-2 µm","Ophiostoma huntii_18041_12234","Ascospores","3-4 x 1.5-2",3.5,1.75,NA,NA,NA
"Ascospores flagelliform or filiform, colourless, tapering towards both ends, 6-13-septate, 125-215 x 2,5-6,5 µm,","Pseudocochliobolus pallescens_127478_16647","Ascospores","125-215 x 2,5-6,5",170,4.5,NA,NA,NA
"ascospores 19-26 x 10-14 µm,","Rhizocarpon inimicum_127494_54311","ascospores","19-26 x 10-14",22.5,12,NA,NA,NA
"ascospores hyaline, simple, ellipsoid, 9-12(-13) x 4-5.5 µm,","Clauzadea monticola_196835_71492","ascospores","9-12(-13) x 4-5.5",12,4.75,NA,NA,NA
"ascospores hyaline, simple, ellipsoid, 17.5-22 x 7-8 µm,","Porpidia tuberculosa_199735_68829","ascospores","17.5-22 x 7-8",19.75,7.5,NA,NA,NA
"Ascospores multiseptate, hyaline, smooth, disarticulating at middle septum; part-ascospores lanceolate, multiseptate, (44.0-)48.5-57.5(-68.0) x 2.0-2.5 µm.","Atricordyceps harposporifera_30784_18900","Ascospores","(44.0-)48.5-57.5(-68.0) x 2.0-2.5",53,2.25,NA,NA,NA
"part-ascospores lanceolate, multiseptate, (44.0-)48.5-57.5(-68.0) x 2.0-2.5 µm.","Atricordyceps harposporifera_30784_18900","part-ascospores","(44.0-)48.5-57.5(-68.0) x 2.0-2.5",53,2.25,NA,NA,NA
