"good.names","Synonyms","Family","Order","dim1.min2","dim1.min","dim1.max","dim1.max2","dim2.min2","dim2.min","dim2.max","dim2.max2","shape","EquatorialAxis","PolarAxis","EquatorialAxis_2","PolarAxis_2","SporeVolume","SporeVolume_2","Dimension_units","Volume_units","Phylum","SporeArea","spore_type"
"Dentiscutata_heterogama","Endogone_heterogama Gigaspora_heterogama Scutellospora_heterogama Fuscutata_heterogama","Gigasporaceae","Diversisporales",120,159,159,200,120,159,159,200,"globose",159,159,160,160,2104699.00269819,2144660.58485063,"Micrometers","Cubic micrometers","Glomeromycota",19855.6509688509,"Azygospores"
"Dentiscutata_nigerita",NA,"","Diversisporales",300,300,650,650,275,275,700,700,NA,475,487.5,475,487.5,57591774.7003785,57591774.7003785,"Micrometers","Cubic micrometers","Glomeromycota",181868.762211722,"Azygospores"
"Diversispora_arenaria","Glomus_arenarium","Diversisporaceae","Diversisporales",55,97,97,120,55,97,97,120,"globose to subglobose",97,97,87.5,87.5,477874.465321626,350770.273496517,"Micrometers","Cubic micrometers","Glomeromycota",7389.81131940659,"Azygospores"
"Diversispora_aurantia","Glomus_aurantium","Diversisporaceae","Diversisporales",70,98,98,120,70,98,98,120,"globose to subglobose",98,98,95,95,492806.978802914,448920.500228591,"Micrometers","Cubic micrometers","Glomeromycota",7542.96396126909,"Azygospores"
"Diversispora_celata",NA,"Diversisporaceae","Diversisporales",53,53,160,160,48,48,192,192,"globose to subglobose to ellipsoid",106.5,120,106.5,120,712654.585503577,712654.585503577,"Micrometers","Cubic micrometers","Glomeromycota",10037.3885282194,"Azygospores"
"Diversispora_clara",NA,"Diversisporaceae","Diversisporales",80,80,110,110,80,80,110,110,"globose to subglobose",95,95,95,95,448920.500228591,448920.500228591,"Micrometers","Cubic micrometers","Glomeromycota",7088.21842466197,"Azygospores"
"Diversispora_eburnea","Glomus_eburneum","Diversisporaceae","Diversisporales",40,40,60,60,140,140,160,160,"irregular",50,150,50,150,196349.540849362,196349.540849362,"Micrometers","Cubic micrometers","Glomeromycota",5890.48622548086,"Azygospores"
"Diversispora_epigaea","Glomus_epigaeum","Diversisporaceae","Diversisporales",60,75,140,165,95,95,140,140,"globose to subglobose to ellipsoid",107.5,117.5,112.5,117.5,710973.506184671,778648.647930751,"Micrometers","Cubic micrometers","Glomeromycota",9920.56055141402,"Azygospores"
"Diversispora_gibbosa","Glomus_gibbosum","Diversisporaceae","Diversisporales",70,93,115,140,70,93,115,140,"globose to subglobose",104,104,105,105,588977.413114605,606131.032601981,"Micrometers","Cubic micrometers","Glomeromycota",8494.8665353068,"Azygospores"
"Diversispora_insculpta","Glomus_insculptum","Diversisporaceae","Diversisporales",50,71,71,85,50,71,71,85,"globose to subglobose",71,71,67.5,67.5,187401.761373163,161031.167189083,"Micrometers","Cubic micrometers","Glomeromycota",3959.19214168654,"Azygospores"
"Diversispora_jakucsiae",NA,"Diversisporaceae","Diversisporales",85,110,110,145,85,110,110,145,NA,110,110,115,115,696909.970321336,796328.287838063,"Micrometers","Cubic micrometers","Glomeromycota",9503.31777710913,"Azygospores"
"Diversispora_omaniana","","Diversisporaceae","Diversisporales",85,136,136,170,85,136,136,170,"globose to subglobose",136,136,127.5,127.5,1317089.68167139,1085248.45596703,"Micrometers","Cubic micrometers","Glomeromycota",14526.7244301992,"Azygospores"
"Diversispora_peridiata",NA,"Diversisporaceae","Diversisporales",35,74,74,100,35,74,74,100,NA,74,74,67.5,67.5,212174.790243045,161031.167189083,"Micrometers","Cubic micrometers","Glomeromycota",4300.84034276443,"Azygospores"
"Diversispora_przelewicensis","Glomus_przelewicense Glomus_przelewicensis","Diversisporaceae","Diversisporales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micrometers","Cubic micrometers","Glomeromycota",NA,"Azygospores"
"Diversispora_slowinskiensis",NA,"Diversisporaceae","Diversisporales",75,138,138,190,75,138,138,190,NA,138,138,132.5,132.5,1376055.28138417,1217997.10804294,"Micrometers","Cubic micrometers","Glomeromycota",14957.122623741,"Azygospores"
"Diversispora_spurca","Glomus_spurcum","Diversisporaceae","Diversisporales",57,75,110,130,40,75,110,115,"globose to subglobose",92.5,92.5,77.5,93.5,414403.887193447,294044.891145136,"Micrometers","Cubic micrometers","Glomeromycota",6720.06303556942,"Azygospores"
"Diversispora_trimurales","Glomus_trimurales","Diversisporaceae","Diversisporales",60,121,121,130,70,118,118,200,"globose to subglobose to ellipsoid",118,121,95,135,882161.311523116,637939.658219577,"Micrometers","Cubic micrometers","Glomeromycota",11213.9149769888,"Azygospores"
"Diversispora_varaderana",NA,"Diversisporaceae","Diversisporales",60,75,75,90,60,75,75,90,NA,75,75,75,75,220893.233455532,220893.233455532,"Micrometers","Cubic micrometers","Glomeromycota",4417.86466911065,"Azygospores"
"Dominikia_achra","Glomus_achrum","Glomeraceae","Glomerales",22,43,43,55,22,43,43,55,"globose to subglobose",43,43,38.5,38.5,41629.7678514939,29880.0149775273,"Micrometers","Cubic micrometers","Glomeromycota",1452.20120412188,"Azygospores"
"Dominikia_aurea","Glomus_aureum","Glomeraceae","Glomerales",36,55,65,65,30,45,52,52,"globose to ovoid",48.5,60,41,50.5,73898.1131940659,44448.5618599274,"Micrometers","Cubic micrometers","Glomeromycota",2285.50865548657,"Azygospores"
