"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"Teliospores 1-5-celled, globose or almost cuboid in some 1-celled spores to long cylindric in 5-celled spores, constricted at the septa, rounded, 20-95 x 18-30 µm;","Gymnosporangium libocedri_381855_14863","Teliospores","20-95 x 18-30",57.5,24,NA
"Teliospores two-celled, clavate to ellipsoid, more rarely fusiform or broadly ellipsoid, not or hardly constricted at septum, 35.5-71.5x13.5-22 µm","Puccinia perforans_148044_60406","Teliospores","35.5-71.5x13.5-22",53.5,17.75,NA
"Teliospores cylindric-clavate, apex round or truncate, tapering to base, not constricted at septum, 31-63(-65) x 8.0-15.5 µm;","Puccinia haleniae_148331_13680","Teliospores","31-63(-65) x 8.0-15.5",63,11.75,NA
"teliospores 1-celled, laterally free, clavate to cylindrical, sessile and grouped on sporogenous basal cells, 70-140 x 12-20 µm,","Maravalia ingae_227298_17597","teliospores","70-140 x 12-20",105,16,NA
"Teliospores ellipsoid to oblong, rounded at both ends or sometimes attenuated downwards, not or slightly constricted at septum, 25-32(-35) x 19-22 µm","Puccinia violae_118926_39503","Teliospores","25-32(-35) x 19-22",32,20.5,NA
"Teliospores cylindric, not or slightly constricted at the septa, rounded at the apex and usually surmounted by a rounded papilla 1-9 µm","Puccinia violacea_227434_14034","Teliospores","1-9",5,NA,NA
"Teliospores clavate or ellipsoid, constricted at septa, upper cell rounded, lower cell elliptical; wall 1.5-2 µm","Puccinia virgata_148590_33371","Teliospores","1.5-2",1.75,NA,NA
"Teliospores clavate to more or less cylindrical, with rounded apex, slightly constricted at the septum, pale brown, 40-80 x 14-20 µm;","Puccinia thaliae_148611_14235","Teliospores","40-80 x 14-20",60,17,NA
"Teliospores discoid (globoid-vertically compressed), 20-30 x 25-33.5 µm;","Uromyces brevipes_240224_13143","Teliospores",")20-30 x 25-33.5",25,29.25,NA
"teliospores 88-120 (-130) µm","Ravenelia papillosa_327951_17608","teliospores","88-120 (-130)",120,NA,NA
"Teliospores (cleared) (17.5-)21.5-31(-33) µm","Uromyces lapponicus_148912_13005","Teliospores",") (17.5-)21.5-31(-33)",26.25,NA,NA
"Teliospores 27-63 x 10-16.5(-18.5) µm,","Puccinia trautvetteriae_328298_13569","Teliospores","27-63 x 10-16.5(-18.5)",45,16.5,NA
"Teliospores oblong to obovate, constricted at septum, 45-89  x 23-32  µm;","Puccinia evadens_149138_15369","Teliospores","45-89 x 23-32",67,27.5,NA
"Teliospores ellipsoid, slightly constricted at septum, 40-88 x 17.5-32 µm;","Gymnosporangium inconspicuum_149227_13362","Teliospores","40-88 x 17.5-32",64,24.75,NA
