"Species_names","spore_length","spore_width","SporeArea","spore_type","Phylum","Source"
"Entoloma_cephalotrichum",10.3,6.5,227.85709717099,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_clypeatum",10,8.8,405.474891823323,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_cuspidiferum",11.5,10.3,638.808832187071,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_dysthaloides",12,7.5,353.429173528852,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_elodes",10.3,8,345.156312874399,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_euchroum",10.3,7,264.260302044461,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_farinogustus",11,8,368.613538021202,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_favrei",10,8.5,378.300115369771,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_hebes",10,6.8,242.112073836653,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_hirtipes",12,9,508.938009881547,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_hirtum",12.8,7.5,376.991118430775,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_juniperinum",9.3,8.3,335.457692753991,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_lepidissimum",9.3,7,238.603962040145,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_lividoalbum",9,8.5,340.470103832794,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_nitidum",7.8,6.8,188.84741759259,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_rhodocalix",9,8,301.59289474462,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_saundersii",11,11,696.909970321336,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_sericatum",9.6,7.6,290.333426674154,"Basidiospores","Basidiomycota","Bassler_etal_2015"
